FirstName,LastName,Company,Country,Director since,Tenure,Age,Female
Quentin F.,Dolan,MSG Networks Inc.,US,2015,0,21,
Charlotte,Ricci,Akka Technologies,France,2012,3,23,Yes
Anaelle,Azoulay,Alten,France,2014,2,24,Yes
Iiris,Herlin,KONE Corporation,Finland,2015,1,24,Yes
Marie,Bollore,Bollore,France,2011,5,25,Yes
Guangchao,Zhu,"REN - Redes Energeticas Nacionais, SGPS, S.A.",Portugal,2012,4,25,
Priya,Agarwal,Cairn India Limited,India,2012,3,25,Yes
Marie,Bollore,Mediobanca SPA,Italy,2014,1,25,Yes
Josh,Levy,Mitchells & Butlers plc,UK,2015,1,25,
Timothy,Goodwin,Goodwin plc,UK,2015,0,25,
Jesse,Crawford,Crawford & Company,US,2015,1,27,
Cyrille,Bollore,Bollore,France,2009,7,28,
Samantha,Kolias-Gunn,Boardwalk Real Estate Investment Trust,Canada,2013,3,28,Yes
Thamila Cefali,Zaher,Estacio Participacoes SA,Brazil,2014,2,28,Yes
Paolo,Fresia,Recordati Industria Chimica e Farmaceutica Spa,Italy,2014,2,28,
Aaron,Ratner,"AV Homes, Inc.",US,2015,1,28,
Ben,Ziff,Town Centre Securities plc,UK,2015,0,28,
Dylan,Smith,"Box, Inc.",US,2005,10,29,
Blaise,Guerrand,Hermes International,France,2012,4,29,
Jussi,Herlin,KONE Corporation,Finland,2012,4,29,
Jean Victor,Meyers,L Oreal,France,2012,4,29,
Ryan,Roebuck,Epsilon Energy Ltd.,Canada,2013,3,29,
Bernard,Goodwin,Goodwin plc,UK,2012,3,29,
Michael,Viola,"Independent Bank Group, Inc.",US,2013,3,29,
Davidi,Jonas,Straight Path Communications Inc.,US,2013,3,29,
Shane,Teoh,TPG Telecom Limited,Australia,2012,3,29,
Markus,Sperber,Buwog AG,Austria,2014,1,29,
Philip,Mortstedt,CLS Holdings plc,UK,2015,1,29,
Dmitry,Kobyzev,"Proteon Therapeutics, Inc.",US,2014,1,29,
Vitaly,Sergeichuk,Rostelecom PJSC,Russia,2014,1,29,
Hakon Reistad,Fure,Storebrand ASA,Norway,2015,1,29,
Mark,Zuckerberg,"Facebook, Inc.",US,2004,11,30,
Aaron,Levie,"Box, Inc.",US,2005,10,30,
Thomas,Schaeffer,Flughafen Wien AG,Austria,2006,10,30,
P. Sarath Chandra,Reddy,Aurobindo Pharma Ltd.,India,2007,8,30,
Linda,Olsen,Norwegian Air Shuttle ASA,Norway,2009,7,30,Yes
David,Fitoussi,Futuren,France,2010,5,30,
Alexia,Decaux-Lefort,JCDecaux SA,France,2013,3,30,Yes
Benjamin L.,Rosenzweig,"PFSweb, Inc.",US,2013,2,30,
Katherine Taaffe,Richard,Imerys,France,2015,1,30,Yes
Michele,Romanow,Whistler Blackcomb Holdings Inc.,Canada,2015,1,30,Yes
Konrad ,Schaefers,Zalando SE,Germany,2015,1,30,
Cyril,Bouygues,Bouygues,France,2016,0,30,
Stephanie,Brecht-Bergen,Dorma Kaba Holding AG,Switzerland,2015,0,30,Yes
Gerardo,Kuri Kaufmann,"Fomento de Construcciones y Contratas, S.A.",Spain,2015,0,30,
Amelie,Nun,Korian,France,2015,0,30,Yes
Aleksandr,Shevchuk,M.video PJSC,Russia,2015,0,30,
Evgeny,Mikhaylov,Cherkizovo Group PJSC,Russia,2005,11,31,
Silvia,De Longhi,DE LONGHI S.p.A.,Italy,2007,9,31,Yes
Kathrine,Fredriksen,Seadrill Limited,US,2008,7,31,Yes
Michael,Rapps,Clarke Inc.,Canada,2012,4,31,
Nicolas,Jacobs,Barry Callebaut AG,Switzerland,2012,3,31,
Wilson ,Handler,EP Energy Corporation,US,2013,3,31,
Paul Charles,Ricard,Pernod Ricard,France,2012,3,31,
Ryan,Israel,Platform Specialty Products Corporation,US,2013,3,31,
Tracy Britt,Cool,The Kraft Heinz Company,US,2013,3,31,Yes
Neil,Cochrane,Aldermore Group plc,UK,2014,2,31,
Nathaniel,Redleaf,Altisource Asset Management Corporation,US,2014,2,31,
Federico,Quitadamo,Cerved Information Solutions SpA,Italy,2014,2,31,
Anne-Sophie,Ginon,GL Events,France,2014,2,31,Yes
Marta,Schorling,Hexpol AB,Sweden,2014,2,31,Yes
Zaizhong,Liang,"SANY Heavy Industry Co., Ltd.",China,2013,2,31,
Cedric,Frere,Groupe Bruxelles Lambert,Belgium,2015,1,31,
D. Robert,Hale,MSCI Inc.,US,2015,1,31,
Maxime,Seche,Seche Environnement,France,2015,1,31,
James,Sholem,Taylor Morrison Home Corporation,US,2015,1,31,
Vitaly,Sergeychuk,Bashneft PJSOC,Russia,2015,0,31,
Maxime,de Bentzmann,Elis,France,2016,0,31,
Ryan,Morris,"Superior Industries International, Inc.",US,2016,0,31,
Cecilie,Fredriksen,Marine Harvest ASA,Norway,2008,8,32,Yes
Laksh Vaaman,Sehgal,Motherson Sumi Systems Ltd.,India,2009,6,32,
Brian Chi Ming,Cheng,NWS Holdings Limited,Hong Kong,2009,6,32,
Simon,Goodwin,Goodwin plc,UK,2010,5,32,
Hal F.,Goltz,"Hampton Roads Bankshares, Inc.",US,2010,5,32,
Filippo Maria,Volta,Datalogic Spa,Italy,2012,4,32,
Katarina,Martinson,Husqvarna AB,Sweden,2012,4,32,Yes
William,Monteleone,"Par Pacific Holdings, Inc.",US,2012,4,32,
Cedric,Frere,Pargesa Holding SA,Switzerland,2012,4,32,
Jens,Koch,FLSmidth & Co.A/S,Denmark,2013,3,32,
Andrey,Guryev A.,PhosAgro OJSC,Russia,2013,3,32,
Nicholas,Segal,"TherapeuticsMD, Inc.",US,2012,3,32,
Greta,Pietrobon,ASCOPIAVE S.P.A.,Italy,2014,2,32,Yes
Louis-Claude,Roux,Beneteau SA,France,2014,2,32,
Faisal Thani,Al-Thani,Bharti Airtel Ltd.,India,2013,2,32,
Paul,Desmarais III,Groupe Bruxelles Lambert,Belgium,2014,2,32,
Kevin Edward,Crowe Jr.,Nine Entertainment Co. Holdings Ltd,Australia,2013,2,32,
Binay,Shetty,NMC Health plc,UK,2014,2,32,
Kevin,Systrom,"Wal-Mart Stores, Inc.",US,2014,2,32,
Ingeborg,Oie,Georgia Healthcare Group plc,UK,2015,1,32,Yes
Kara,Smith,Hingham Institution for Savings,US,2015,1,32,Yes
Vivek,Raj,Niko Resources Ltd.,Canada,2014,1,32,
J. Ryan,Ruhlman,Preformed Line Products Company,US,2015,1,32,
Adam Kai-fai,Kwok,Sun Hung Kai Properties Ltd.,Hong Kong,2014,1,32,
Brian,Choi,"Avis Budget Group, Inc.",US,2016,0,32,
Brendan,Springstubb,"Benchmark Electronics, Inc.",US,2016,0,32,
Marie-Ange,Verdickt,Bonduelle,France,2015,0,32,Yes
Edward,Bouygues,Bouygues,France,2016,0,32,
Carmen,Balazs,Immofinanz AG,Austria,2015,0,32,Yes
Bradley,Vizi,L.B. Foster Company,US,2016,0,32,
Philipp,Moeller,Deutsche Beteiligungs AG,Germany,2010,6,33,
Douglas,Haber,"Fogo De Chao, Inc.",US,2012,4,33,
Edward,Wong,"Planet Fitness, Inc.",US,2012,4,33,
R. Greg,Eisner,"Alico, Inc.",US,2013,3,33,
Sergey,Mestnikov,Alrosa PJSC,Russia,2012,3,33,
Georgios,Melisanidis,OPAP (Greek Organisation of Football Prognostics SA),Greece,2013,3,33,
Lorenza,Guerra Seragnoli,Vittoria Assicurazioni SPA,Italy,2013,3,33,Yes
Elisabetta,Maggini,Acea Spa,Italy,2014,2,33,Yes
Davina,Bruckner,ageas SA/NV,Belgium,2014,2,33,Yes
Noah,Elbogen,"BJ's Restaurants, Inc.",US,2014,2,33,
Juan,March Juan,Bolsas y Mercados Espanoles S.A.,Spain,2014,2,33,
Camilla,Cucinelli,Brunello Cucinelli S.p.A.,Italy,2014,2,33,Yes
Anne-Celine,Roux-Lescop,GL Events,France,2014,2,33,Yes
Lee,Wittlinger,GoDaddy Inc.,US,2014,2,33,
Celine,Lamort,Guerbet,France,2014,2,33,Yes
Roshni Nadar,Malhotra,HCL Technologies Ltd.,India,2013,2,33,Yes
Paul,Desmarais III,Imerys,France,2014,2,33,
Brandon,Wood,Italtile Ltd,South Africa,2013,2,33,
David,Graff,"Nelnet, Inc.",US,2014,2,33,
Paul,Desmarais III,Pargesa Holding SA,Switzerland,2014,2,33,
Conner,Mulvee,"Paycom Software, Inc.",US,2014,2,33,
Wesley,Scripps,"Scripps Networks Interactive, Inc.",US,2014,2,33,
Jonathan,Borell,Vince Holding Corp.,US,2014,2,33,
Lili,Liang,Gemdale Corp.,China,2014,1,33,Yes
Roger,Schmitz,"Gener8 Maritime, Inc.",US,2015,1,33,
John,Park,GoDaddy Inc.,US,2015,1,33,
Scott,Schaen,"Green Bancorp, Inc.",US,2015,1,33,
Katrina,Lake,GrubHub Inc.,US,2015,1,33,Yes
Michael ,Olshan,Morgans Hotel Group Co.,US,2015,1,33,
Michael,Layman,"Planet Fitness, Inc.",US,2015,1,33,
Matthew,Peltz,The Wendy's Company,US,2015,1,33,
Danilo Ferreira,Silva,TOTVS SA,Brazil,2015,1,33,
Valery,Senko,Uralkali PJSC,Russia,2014,1,33,
Jonathan,Frates,"American Railcar Industries, Inc.",US,2016,0,33,
Rana,Kashyap,"Ascent Capital Group, Inc.",US,2016,0,33,
Jonathan,Frates,"CVR Energy, Inc.",US,2016,0,33,
Christine,Mankel,Dorma Kaba Holding AG,Switzerland,2015,0,33,Yes
Herbert Claros da,Silva,Embraer SA,Brazil,2015,0,33,
Vasily,Belov,Rosseti PJSC,Russia,2015,0,33,
Laure,Grimonpret-Tahon,Rubis,France,2015,0,33,Yes
Mariam,Cassim,Super Group Ltd,South Africa,2015,0,33,Yes
Vanisha Mittal,Bhatia,ArcelorMittal,Luxembourg,2004,12,34,Yes
David,Baazov,Amaya Inc.,Canada,2006,9,34,
Matthew,Goodwin,Goodwin plc,UK,2006,9,34,
Nandini,Piramal,Piramal Enterprises Limited,India,2008,7,34,Yes
John,Rapaport,Virgin America Inc.,US,2009,7,34,
Jassim ,Al Thani,Credit Suisse Group AG,Switzerland,2010,6,34,
Giacomo,Mareschi Danieli,Danieli & Co. Officine Meccaniche SPA,Italy,2009,6,34,
Michael,Sand,Fairmount Santrol Holdings Inc.,US,2010,6,34,
Allison,Egidi,1st Source Corporation,US,2011,5,34,Yes
K. Aaron,Clark,"Bear State Financial, Inc.",US,2011,5,34,
Morgan,Everett,Coca-Cola Bottling Co. Consolidated,US,2011,5,34,Yes
Kwek,Eik Sheng,Millennium & Copthorne Hotels plc,UK,2011,5,34,
Gabriel,Naouri,Rallye,France,2011,5,34,
Aaron,Nahmad,"Watsco, Inc.",US,2011,5,34,
Clara,Shih,Starbucks Corporation,US,2011,5,34,Yes
G. Brock,Gearhart,"Bear State Financial, Inc.",US,2012,4,34,
Christian B.,Johnson,"Boot Barn Holdings, Inc.",US,2011,4,34,
Denis,Fedorov,FGC UES PJSC,Russia,2011,4,34,
Denis,Fedorov,Inter RAO UES PJSC,Russia,2011,4,34,
Yehuda,Shmidman,"Sequential Brands Group, Inc.",US,2012,4,34,
Laura ,Grattan,West Corporation,US,2012,4,34,Yes
Sonia Chi-man,Cheng,New World Development Co. Ltd.,Hong Kong,2012,3,34,Yes
Toby,Rice,Rice Energy Inc.,US,2013,3,34,
Prashant,Bangur,Shree Cement Ltd.,India,2012,3,34,
Eric,La Bonnardiere,Tarkett,France,2013,3,34,
Joseph,Noonan,"Watts Water Technologies, Inc.",US,2013,3,34,
Jeong-guk,Hong,BGF Retail Co. Ltd.,South Korea,2014,2,34,
Dmitry,Mints,CA Immobilien Anlagen AG,Austria,2014,2,34,
Vicente,Piedrahita,"Clear Channel Outdoor Holdings, Inc.",US,2014,2,34,
Timothy,O'Shaughnessy,Graham Holdings Company,US,2014,2,34,
Giorgia,Gagliardi,HERA SPA,Italy,2014,2,34,Yes
Yanli,Piao,Kakao Corp.,South Korea,2014,2,34,Yes
Capucine,Allerton-Kohler,Lisi,France,2014,2,34,Yes
Sheikh Mansoor,Bin Butti Al Hamed,Mediclinic International PLC,UK,2013,2,34,
Michael F.,Sirignano,Navistar International Corporation,US,2014,2,34,
Ilya,Stepanishchev,PIK Group PJSC,Russia,2013,2,34,
Gregory,Blank,Travelport Worldwide Limited,US,2013,2,34,
Christopher J. L.,Fielding,"Tumi Holdings, Inc.",US,2013,2,34,
Raphael,Lygnos,Buwog AG,Austria,2014,1,34,
James,Pappas,"Jamba, Inc.",US,2015,1,34,
Ji-hun,Lim,Kakao Corp.,South Korea,2015,1,34,
Alastair,Rampell,"KCG Holdings, Inc.",US,2015,1,34,
Morten,Borge,Petroleum Geo-Services Asa,Norway,2015,1,34,
Daniel S.,Schwartz,Restaurant Brands International Inc.,US,2014,1,34,
William,Gairard,Seb SA,France,2015,1,34,
Michael,Dayan,Srp Groupe,France,2015,1,34,
Carrie,Liu,TOM TAILOR HOLDING AG,Germany,2015,1,34,Yes
Caroline,Tsay,Travelzoo Inc.,US,2015,1,34,Yes
Michael,Kreger,Tribune Media Company,US,2015,1,34,
Petr,Alekseyev,Alrosa PJSC,Russia,2015,0,34,
Aleksey,Chekunkov,Alrosa PJSC,Russia,2015,0,34,
James C.,Pappas,"Casella Waste Systems, Inc.",US,2015,0,34,
Nurlan,Kyshtobaev,Centerra Gold Inc.,Canada,2016,0,34,
Julia,Woehlke,Fielmann AG,Germany,2015,0,34,Yes
Johnny,Guerry,"Financial Institutions, Inc.",US,2016,0,34,
Alexander Azim,Shoghi,"JAKKS Pacific, Inc.",US,2015,0,34,
Albert,Latypov,Nizhnekamskneftekhim PJSC,Russia,2016,0,34,
Veronica,Vargas,Pernod Ricard,France,2015,0,34,Yes
Steuart,Walton,"Wal-Mart Stores, Inc.",US,2016,0,34,
Hadrien,Saubot,Haulotte Group,France,2004,12,35,
Sergey I.,Mikhaylov,Cherkizovo Group PJSC,Russia,2005,11,35,
Antoine,Arnault,LVMH Moet Hennessy Louis Vuitton,France,2006,10,35,
Francisco,Alvarez-Demalde,GLOBANT S.A.,Luxembourg,2007,9,35,
Adrian Chi-kong,Cheng,New World Development Co. Ltd.,Hong Kong,2007,8,35,
Yann,Chareton,Mersen SA,France,2009,7,35,
Niccolo,de Masi,Glu Mobile Inc.,US,2010,6,35,
Barry,Karfunkel,National General Holdings Corp.,US,2010,6,35,
Riccardo,Stefanelli,Brunello Cucinelli S.p.A.,Italy,2011,5,35,
Chandler,Reedy,"Endurance International Group Holdings, Inc.",US,2011,5,35,
Jonathan S.,Marlow,"Freshpet, Inc.",US,2010,5,35,
Marcos,Alvarado,Opus Bank,US,2011,5,35,
Tricia,Patrick,"Burlington Stores, Inc.",US,2012,4,35,Yes
Brandon,Boze,"CBRE Group, Inc.",US,2012,4,35,
Elena,Mikhaylova,Gazprom Neft PJSC,Russia,2012,4,35,Yes
Patrick,Gaughen,Hingham Institution for Savings,US,2012,4,35,
Chelsea,Clinton,IAC/InterActiveCorp,US,2011,4,35,Yes
Samuel J.,Merksamer,Navistar International Corporation,US,2012,4,35,
Laure,Heriard Dubreuil,Remy Cointreau,France,2011,4,35,Yes
John,York,"Chegg, Inc.",US,2013,3,35,
Joseph A.,Schottenstein,DSW Inc.,US,2012,3,35,
Ethan,Auerbach,"Gener8 Maritime, Inc.",US,2013,3,35,
Mark A.,Welsh IV,Halcon Resources Corporation,US,2012,3,35,
Samuel J.,Merksamer,"Hologic, Inc.",US,2013,3,35,
Vanessa,Laberenne,Mediobanca SPA,Italy,2012,3,35,Yes
Wenjing,Li,"Midea Group Co., Ltd.",China,2012,3,35,
Alexey,Bashkirov,MMC Norilsk Nickel PJSC,Russia,2013,3,35,
Michal,Houst,OPAP (Greek Organisation of Football Prognostics SA),Greece,2013,3,35,
Christos,Kopelouzos,OPAP (Greek Organisation of Football Prognostics SA),Greece,2013,3,35,
Max,Lin,"PRA Health Sciences, Inc.",US,2013,3,35,
Daniel,Rice,Rice Energy Inc.,US,2013,3,35,
Kevin,Hammond,The J.G. Wentworth Company,US,2013,3,35,
Christopher S.,Shackelton,The Providence Service Corporation,US,2012,3,35,
Samuel ,Merksamer,Transocean Ltd.,US,2013,3,35,
Sabina,Fluxá Thienemann,"Acs, Actividades de Construccion y Servicios S.A",Spain,2014,2,35,Yes
Benjamin,Beneteau,Beneteau SA,France,2014,2,35,
Astrid,de Lancrau de Breon,Bourbon,France,2014,2,35,Yes
Joseph,Robbins,BRP Inc.,Canada,2013,2,35,
Samuel ,Merksamer,"Hertz Global Holdings, Inc.",US,2014,2,35,
Mark Anthony,Held,Immofinanz AG,Austria,2013,2,35,
Natalie,Bancroft,News Corporation,US,2013,2,35,Yes
Nadim,El Gabbani,"The Michaels Companies, Inc.",US,2014,2,35,
Juliana Publio Donato de,Oliveira,Banco do Brasil S.A.,Brazil,2015,1,35,Yes
Ryan L.,Snyder,"C1 Financial, Inc.",US,2014,1,35,
Jean Pierre,Verster,Capitec Bank Holdings Ltd,South Africa,2015,1,35,
Samuel ,Merksamer,"Cheniere Energy, Inc.",US,2015,1,35,
Alexander,Markovtsev,Exillon Energy plc,UK,2014,1,35,
Matthias,Boyer-Chammard,Ibstock PLC,UK,2015,1,35,
Gregory,Blank,NCR Corporation,US,2015,1,35,
Jonny,Hilbert,SKF AB,Sweden,2015,1,35,
Denny,Kim,"Talmer Bancorp, Inc.",US,2014,1,35,
Michael,Sanford,"Avon Products, Inc.",US,2016,0,35,
Elijah,Barnes,Barnes Group Inc.,US,2016,0,35,
Bektur,Sagynov,Centerra Gold Inc.,Canada,2016,0,35,
Xiang,Li,"Chongqing Changan Automobile Co., Ltd.",China,2016,0,35,
Bertrand,Walckenaer,CNP Assurances,France,2016,0,35,
Gustavo Goncalves,Manfrim,"Eletrobras, Centrais Eletricas Brasileiras S.A.",Brazil,2016,0,35,
Alejandro,Aboumrad Gonzalez,"Fomento de Construcciones y Contratas, S.A.",Spain,2015,0,35,
Katja,Moegel,Gerresheimer AG,Germany,2016,0,35,Yes
Jennifer,Kelly,Goodwin plc,UK,2015,0,35,Yes
Conor,Flynn,Kimco Realty Corporation,US,2016,0,35,
Joao Pedro,Magalhaes da Silva Torres Dolores,Nos SGPS SA,Portugal,2016,0,35,
Joao,Pedro Magalhaes da Silva Torres Dolores,Nos SGPS SA,Portugal,2016,0,35,
Emilie,van de Walle de Ghelcke,NV BEKAERT SA,Belgium,2016,0,35,Yes
Ning,Li,Pierre et Vacances,France,2016,0,35,
Matt,Pearson,Sports Direct International plc,UK,2015,0,35,
Jacob,Wiese,Steinhoff International Holdings N.V.,Netherlands,2016,0,35,
Daniela,Aeschlimann,Swatch Group AG,Switzerland,2016,0,35,
Mayuran,Sriskandarajah,"VIVUS, Inc.",US,2015,0,35,
Samuel ,Merksamer,"AMERICAN INTERNATIONAL GROUP, INC.",US,2016,0,35,
Sabina,Fluxá Thienemann,Telefonica S.A.,Spain,2016,0,35,Yes
Elisa,Savary,Haulotte Group,France,1998,18,36,Yes
Patty Pei Chun,Tsai,Yue Yuen Industrial (Holdings) Ltd.,Hong Kong,2005,11,36,Yes
Michele,Colaninno,Piaggio & C. S.p.A.,Italy,2006,10,36,
Boris,Derichebourg,Derichebourg,France,2007,9,36,
Romolo,Bardin,Fonciere des regions,France,2007,9,36,
David,Zwillinger,"James River Group Holdings, Ltd.",US,2007,9,36,
Lynn,Jurich,Sunrun Inc.,US,2007,9,36,Yes
Marin,Katusa,Copper Mountain Mining Corporation,Canada,2007,8,36,
Maxim,Sokov,MMC Norilsk Nickel PJSC,Russia,2008,8,36,
Nolan,Watson,Sandstorm Gold Ltd.,Canada,2008,8,36,
Yannick,Bollore,Bollore,France,2009,7,36,
Jonathan L.,Zrebiec,"NCI Building Systems, Inc.",US,2009,7,36,
Stefano,Viviano,ASTM S.p.A.,Italy,2010,6,36,
David,Sambur,Caesars Entertainment Corporation,US,2010,6,36,
Yannick,Bollore,Havas,France,2010,6,36,
Boris,Kovalchuk,Inter RAO UES PJSC,Russia,2009,6,36,
