FirstName,LastName,Company,Country,Director since,Tenure,Age,Female
Marianna,Zakharova,MMC Norilsk Nickel PJSC,Russia,2010,6,36,Yes
David,Quick,"Townsquare Media, Inc.",US,2010,6,36,
Jonathan,Samuels,Triangle Petroleum Corporation,US,2009,6,36,
Julien,Pestiaux,Ackermans & van Haaren,Belgium,2011,5,36,
Markus,Haag,Erste Group Bank AG,Austria,2011,5,36,
Arthur,Gruen,FXCM Inc.,US,2010,5,36,
Jules,Maltz,"RetailMeNot, Inc.",US,2011,5,36,
Bongani,Mtshisi,B2Gold Corp.,Canada,2011,4,36,
Leerom,Segal,Dream Industrial Real Estate Investment Trust,Canada,2012,4,36,
Phillip J.,Gass,Fidelity & Guaranty Life,US,2011,4,36,
Krishna,Yeshwant,"Foundation Medicine, Inc.",US,2011,4,36,
Adam,Pierce,"Gener8 Maritime, Inc.",US,2012,4,36,
Duncan,Walker,Helical Bar plc,UK,2011,4,36,
Christopher,Shackelton,"LHC Group, Inc.",US,2012,4,36,
Olga,Rashnikova,Magnitogorsk Iron & Steel Works,Russia,2012,4,36,Yes
Dmitry,Kolosov,"OPKO Health, Inc.",US,2012,4,36,
Nick,Hanekom,Resilient REIT Ltd,South Africa,2011,4,36,
Dennis,Gies,"Smart & Final Stores, Inc.",US,2012,4,36,
Alassane,Doumbia,Societe internationale de plantations d heveas SIPH,France,2011,4,36,
Steven V.,Tesoriere,"TerraForm Power, Inc.",US,NULL,3,36,
Alexia,Bertrand,Ackermans & van Haaren,Belgium,2013,3,36,Yes
Paul,Hackwell,"AV Homes, Inc.",US,2013,3,36,
Wesley,Bieligk,Axalta Coating Systems Ltd.,US,2013,3,36,
Keith,Adey,Bellway plc,UK,2012,3,36,
David,Sambur,Caesars Acquisition Company,US,2013,3,36,
Soren,Larsen,FLSmidth & Co.A/S,Denmark,2013,3,36,
Aarti,Takoordeen,JSE Ltd,South Africa,2013,3,36,Yes
Brett M.,Icahn,"Nuance Communications, Inc.",US,2013,3,36,
Stephen,Oakenfull,Redefine International plc,UK,2013,3,36,
Andrea,Novelli,Snam SpA,Italy,2012,3,36,
Kevin,Bhatt,Stonegate Mortgage Corporation,US,2012,3,36,
Steven V.,Tesoriere,"SunEdison, Inc.",US,2012,3,36,
Kaijing,Yan,"Tasly Pharmaceutical Group Co., Ltd.",China,2012,3,36,
Cooper C.,Collins,"TherapeuticsMD, Inc.",US,2012,3,36,
Jose Alberto,Vizquerra Benavides,Timmins Gold Corp.,Canada,2013,3,36,
Roy A.,Aneed,Triangle Petroleum Corporation,US,2012,3,36,
Maxim,Sokov,United Company RUSAL Plc,Hong Kong,2012,3,36,
Sylvain,Michel,Altran Technologies,France,2014,2,36,
Westley,Moore,"American Public Education, Inc.",US,2013,2,36,
William David,Christ,"Amplify Snack Brands, Inc.",US,2014,2,36,
Stephane,Loisel,April,France,2014,2,36,
Amish,Gupta,"Ashford Hospitality Trust, Inc.",US,2014,2,36,
Fabrice,Nottin,Braas Monier Building Group S.A.,Luxembourg,2014,2,36,
William D.,Rahm,Brixmor Property Group Inc.,US,2013,2,36,
Lulama,Boyce,Coronation Fund Managers Ltd,South Africa,2014,2,36,Yes
Maelle,Gavet,Edenred,France,2014,2,36,Yes
Sandra,Le Grand,Hi Media,France,2014,2,36,Yes
Jason,Pritzker,Hyatt Hotels Corporation,US,2014,2,36,
Brian,Kim,La Quinta Holdings Inc.,US,2014,2,36,
Loren,Easton,Metaldyne Performance Group Inc.,US,2014,2,36,
Fanny,Letier,Nexans,France,2014,2,36,Yes
Rishi,Bajaj,"ServiceSource International, Inc.",US,2014,2,36,
Chad,Danard,Stuart Olson Inc.,Canada,2014,2,36,
Bret,Taylor,"TASER International, Inc.",US,2014,2,36,
Mpumi,Madisa,The Bidvest Group Ltd,South Africa,2013,2,36,Yes
Sean William,Gourley,Anadarko Petroleum Corporation,US,2015,1,36,
Christopher,Shackelton,"BioScrip, Inc.",US,2015,1,36,
Guillaume d'Armand,de Chateauvieux,Bourbon,France,2015,1,36,
Samuel Compton,Swire,Cathay Pacific Airways Ltd,Hong Kong,2015,1,36,
Ames,Brown,Energy Fuels Inc.,Canada,2015,1,36,
Ginevra,Elkann,Exor S.P.A.,Italy,2015,1,36,Yes
Marcos Barbosa,Pinto,Fibria Celulose SA,Brazil,2014,1,36,
Joao Henrique Batista de Souza,Schmidt,Fibria Celulose SA,Brazil,2014,1,36,
Robin S.,Pringle,"FTD Companies, Inc.",US,2014,1,36,Yes
Nikoloz,Gamkrelidze,Georgia Healthcare Group plc,UK,2015,1,36,
Laurent,Raets,Imerys,France,2015,1,36,
Philipp,Obermair,Immofinanz AG,Austria,2014,1,36,
Bradford ,Nugent,Morgans Hotel Group Co.,US,2015,1,36,
Pierre-Henri,Chappaz,Seche Environnement,France,2015,1,36,
Eric,Dayan,Srp Groupe,France,2015,1,36,
Samuel Compton,Swire,Swire Pacific Limited,Hong Kong,2015,1,36,
Gilbert,Klemann,TransUnion,US,2015,1,36,
Sandrine,Verrier,BNP Paribas SA,France,2015,1,36,Yes
Joseph A.,De Perio,Imation Corp.,US,2015,0,36,
Peter A.,Feld,"Insperity, Inc.",US,2015,0,36,
Nicholas,Riley,Investec Property Fund Ltd,South Africa,2015,0,36,
David,Ledwidge,Irish Continental Group plc,Ireland,2016,0,36,
Ryan,Barrington-Foote,Just Energy Group Inc.,Canada,2015,0,36,
Jordan,Kovler,Rofin-Sinar Technologies Inc.,US,2016,0,36,
Feliks,Evtushenkov,Sistema JSFC,Russia,2015,0,36,
Joshua D.,Frank,Sysco Corporation,US,2015,0,36,
Valentina,Volta,Datalogic Spa,Italy,2001,15,37,Yes
Cristina,Stenbeck,Investment AB Kinnevik,Sweden,2003,13,37,Yes
Segolene,Gallienne,Pargesa Holding SA,Switzerland,2004,12,37,Yes
Robert J.,Pera,"Ubiquiti Networks, Inc.",US,2003,12,37,
Sofia,Schorling Hogberg,Securitas AB,Sweden,2005,11,37,Yes
Daryl Win Kong,Ng,Sino Land Company Ltd.,Hong Kong,2005,10,37,
Amir,Adnani,Uranium Energy Corp.,US,2005,10,37,
Ohad,Korkus,"Varonis Systems, Inc.",US,2007,9,37,
Nick,Hartman,Auto Trader Group plc,UK,2007,8,37,
John,Trotman,Big Yellow Group plc,UK,2007,8,37,
Farhad,Nanji,"PennyMac Financial Services, Inc.",US,2008,8,37,
J. Kristofer,Galashan,"The Container Store Group, Inc.",US,2007,8,37,
Joel,Agree,AGREE REALTY CORPORATION,US,2009,7,37,
Berke,Bakay,"Kona Grill, Inc.",US,2009,7,37,
Anton,Abugov,Mobile Telesystems PJSC,Russia,2008,7,37,
Dan,Scholnick,"New Relic, Inc.",US,2008,7,37,
Bernardt,van der Linde,Curro Holdings Ltd,South Africa,2009,6,37,
Mohamed Ali,Al Fahim,EDP-Energias de Portugal S.A,Portugal,2010,6,37,
Cas,Schneller,"Green Bancorp, Inc.",US,2010,6,37,
Andrew J.,Kowal,Mitel Networks Corporation,Canada,2009,6,37,
Mary,Vilakazi,MMI Holdings Ltd,South Africa,2009,6,37,Yes
David,Schlaff,RHI AG,Austria,2010,6,37,
Thierry,Serres,Societe internationale de plantations d heveas SIPH,France,2009,6,37,
Segolene,Gallienne,Christian Dior,France,2010,5,37,Yes
Kevin M.,Mailender,"Dave & Buster's Entertainment, Inc.",US,2010,5,37,
Andy,Dawson,DFS Furniture plc,UK,2010,5,37,
Ryan,Silverman,FXCM Inc.,US,2010,5,37,
Gregory,Smith,IP Group plc,UK,2011,5,37,
Emily,White,lululemon athletica inc.,US,2011,5,37,Yes
Jason ,Kalisman,Morgans Hotel Group Co.,US,2011,5,37,
Conroy Chi Heng,Cheng,New World Development Co. Ltd.,Hong Kong,2010,5,37,
Daniel,Goldberg,Century Aluminum Company,US,2011,4,37,
