company,country,averageage,averagetenure,women%,marketcap
Apple Inc.,USA,62.1,7,25,541.1
Alphabet Inc.,USA,59.2,12.5,27.3,506
Microsoft Corporation,USA,56.2,6,27.3,422.1
Exxon Mobil Corporation,USA,63.6,6.4,21.4,394.4
Berkshire Hathaway Inc.,USA,71.5,18.9,25,360
"Amazon.com, Inc.",USA,64.2,11.2,30,347
Johnson & Johnson,USA,62.8,5.7,27.3,338.3
"Facebook, Inc.",USA,49,6.3,25,336.2
General Electric Company,USA,59.8,6.8,25,302.4
AT&T Inc.,USA,60.8,5.9,33.3,264.1
Nestle SA,Switzerland,63.2,6.8,30.8,246.2
Wells Fargo & Company,USA,64.5,9.7,40,242.2
"JPMorgan Chase Bank, NA.",USA,64.8,8.9,18.2,234.7
"Wal-Mart Stores, Inc.",USA,54.1,7.6,25,229.6
The Procter & Gamble Company,USA,61.8,6.2,38.5,228.9
Verizon Communications Inc.,USA,60.7,6.1,30.8,227.6
Royal Dutch Shell plc,United Kingdom,62.3,4.5,27.3,224.3
Roche Holding Ltd,Switzerland,57.3,7,16.7,223.9
Pfizer Inc.,USA,63.3,7.1,27.3,223
Novartis AG,Switzerland,57.7,5.8,25,214.5
Anheuser-Busch InBev SA,Belgium,55.8,6.2,14.3,202
Chevron Corporation,USA,62.7,6.5,20,201.7
The Coca-Cola Company,USA,65.4,9.7,26.7,197.4
"Samsung Electronics Co., Ltd.",South Korea,63.7,3.3,0,190.8
Visa Inc.,USA,61.3,6.5,27.3,185.6
Oracle Corporation,USA,67.4,13.9,16.7,172.2
"The Home Depot, Inc.",USA,57.7,5.8,25,167.7
Intel Corporation,USA,60.9,10.7,10,165.6
"Merck & Co., Inc.",USA,63.2,7.4,23.1,165.1
The Walt Disney Company,USA,61,8.5,27.3,161.9
Comcast Corporation,USA,64.6,12.4,18.2,161.7
Philip Morris International Inc.,USA,65,5.3,16.7,160.8
"PepsiCo, Inc.",USA,60.4,5.6,28.6,157.8
International Business Machines Corporation,USA,62.9,7.2,28.6,153.4
"Cisco Systems, Inc.",USA,61.4,11.2,27.3,150
Bank of America Corporation,USA,64.3,5.4,30.8,140.3
"Altria Group, Inc.",USA,65.7,7.3,18.2,135.8
UnitedHealth Group Incorporated,USA,69.7,14.3,20,134.4
Citigroup Inc.,USA,62.8,4.3,31.3,130.1
Bristol-Myers Squibb Company,USA,61.6,6.5,18.2,126.9
