cat,value,group
US,0.832254471,normal
Canada,0.247806089,normal
Spain,0.044330144,normal
Netherlands,-2.82660221,normal
Switzerland,-0.77543956,normal
Brazil,-2.730677966,normal
Italy,-0.545387931,normal
Ireland,-0.471603774,normal
Finland,-2.876538462,normal
Germany,-1.38244186,normal
UK,-1.764714906,normal
France,-0.83056379,normal
South Africa,0.057007722,normal
Sweden,-1.741968974,normal
Denmark,-1.796188119,normal
Norway,-2.810973154,normal
Russia,-3.281090713,normal
