cat,value,group
US,1.45,normal
Canada,0.99,normal
Spain,0.59,normal
Netherlands,-0.76,normal
Switzerland,-1.10,normal
Brazil,-1.58,normal
Italy,-2.00,normal
Ireland,-2.46,normal
Finland,-2.52,normal
Germany,-2.59,normal
UK,-2.98,normal
France,-3.16,normal
South Africa,-3.92,normal
Sweden,-4.13,normal
Denmark,-5.02,normal
Norway,-6.00,normal
Russia,-8.51,normal
