cat,value,group
US,61.44,normal
Canada,60.98,normal
Spain,60.58,normal
Netherlands,59.23,normal
Switzerland,58.88,normal
Brazil,58.40,normal
Italy,57.99,normal
Ireland,57.53,normal
Finland,57.47,normal
Germany,57.39,normal
UK,57.01,normal
France,56.83,normal
South Africa,56.07,normal
Sweden,55.85,normal
Denmark,54.96,normal
Norway,53.99,normal
Russia,51.47,normal
