cat,value,group
Energy, 7.00 ,normal
Financials, 7.92 ,normal
Health, 7.13 ,normal
Industrials, 7.44 ,normal
Materials, 6.88 ,normal
Utilities, 6.40 ,normal
IT, 7.58 ,normal
Consumer discretionary, 7.57 ,normal
Consumer staples, 7.41 ,normal
Telecomm, 6.00 ,normal
