cat,value,group
US,8.247383991,normal
Canada,7.662935609,normal
South Africa,7.472137242,normal
Spain,7.459459664,normal
Ireland,6.943525746,normal
Italy,6.869741589,normal
Switzerland,6.63968996,normal
France,6.58456573,normal
Germany,6.03268766,normal
Sweden,5.673160546,normal
UK,5.650414614,normal
Denmark,5.618941401,normal
Brazil,4.684451554,normal
Norway,4.604156366,normal
Netherlands,4.58852731,normal
Finland,4.538591058,normal
Russia,4.134038807,normal
