Company,Country,Board size,Average age,Average tenure,# Over life expectancy,# Women,Market cap ($m)
Sprott Resource Corp.,Canada,7,56.2,5.1,0,1,43.12
Copper Mountain Mining Corporation,Canada,7,59.6,7.3,0,0,43.36
"bebe stores, inc.",US,6,62.7,10.3,0,0,43.8
Cequence Energy Ltd.,Canada,8,56.9,5.1,0,0,44.32
Gear Energy Ltd.,Canada,6,53.5,4.7,0,0,44.45
Johnston Press plc,UK,8,58,5.6,0,1,45.07
FXCM Inc.,US,11,48.5,5,0,0,45.38
Oncolytics Biotech Inc.,Canada,7,58,5.9,0,1,45.78
Synta Pharmaceuticals Corp.,US,7,66.4,7.9,0,0,46.23
Strad Energy Services Ltd.,Canada,6,68,6.8,0,0,46.4
"Fibrocell Science, Inc.",US,7,56,3.9,0,1,47.41
"Key Energy Services, Inc.",US,10,61.9,11,0,1,48.3
"Verastem, Inc.",US,9,60.1,3.7,0,2,51.05
"Comstock Resources, Inc.",US,8,64.3,14.5,1,1,52.97
"PetroQuest Energy, Inc.",US,6,64.8,14.5,0,0,53.95
"Catalyst Pharmaceuticals, Inc.",US,6,65.5,9.3,0,0,54.79
Essential Energy Services Ltd.,Canada,6,66.5,5.8,0,0,58.01
A. M. Castle & Co.,US,9,57.7,3.4,0,1,58.88
Unilife Corporation,US,6,61.2,4.8,0,1,58.99
Rex Energy Corporation,US,6,58.5,6,0,0,60.85
"Rentech, Inc.",US,8,59.4,6,0,0,61.52
"SunEdison, Inc.",US,9,56.4,4.9,0,1,62.48
Halcon Resources Corporation,US,9,57,3,0,0,63.01
Imation Corp.,US,9,54.4,2.8,0,0,64.29
"NIVALIS THERAPEUTICS, INC.",US,6,54.5,2.7,0,0,65.25
"Northwest Biotherapeutics, Inc.",US,5,64.8,7.4,0,1,67.65
Pilot Gold Inc.,Canada,5,53,4,0,0,67.67
"Chiasma, Inc.",US,9,58.8,4.1,0,0,68.05
"Orexigen Therapeutics, Inc.",US,9,57.4,6.9,0,2,68.42
"Alliance HealthCare Services, Inc.",US,9,58.2,6.2,0,0,68.59
"MaxPoint Interactive, Inc.",US,5,48,6.8,0,1,69.42
"Dicerna Pharmaceuticals, Inc.",US,7,52.3,5.4,0,0,69.64
"Violin Memory, Inc.",US,8,55.8,2,0,1,69.66
Long Run Exploration Ltd.,Canada,8,57.9,3.8,0,0,69.97
"Digital Turbine, Inc.",US,7,55.9,3,0,0,70.7
Sizmek Inc.,US,7,59.1,1.4,0,0,71.34
"ModusLink Global Solutions, Inc.",US,6,59.3,2.5,0,0,72.04
Lakehouse plc,UK,7,49.1,5,0,1,72.85
"Fenix Parts, Inc.",US,7,59,1.1,0,0,72.93
"aTyr Pharma, Inc.",US,8,59.5,6,0,1,73.43
VOXX International Corporation,US,8,67.9,17.9,2,1,74.41
Balmoral Resources Ltd.,Canada,4,56.7,3,0,0,74.57
Accuride Corporation,US,7,61.1,4.3,0,0,74.78
"Zynerba Pharmaceuticals, Inc.",US,7,62.4,1.1,0,1,75.35
Morgans Hotel Group Co.,US,9,46.4,1.9,0,1,75.45
XOMA Corporation,US,7,64.3,15,1,0,75.94
Paragon Offshore plc,US,8,62.1,2,0,0,76.89
Perpetual Energy Inc.,Canada,7,64.3,11.4,0,1,77.77
CorMedix Inc.,US,7,57.3,3,0,2,78.23
"Universal Technical Institute, Inc.",US,10,64.2,9.3,1,2,79.36
"Novatel Wireless, Inc.",US,7,62,4.3,0,1,80.11
Chinook Energy Inc.,Canada,8,58.3,7,0,1,80.71
Cumulus Media Inc.,US,7,52.7,6.4,0,2,80.86
"Alimera Sciences, Inc.",US,8,54.8,7.8,0,0,82.08
ION Geophysical Corporation,US,8,60.4,9.9,0,0,82.98
"Basic Energy Services, Inc.",US,9,62.3,12,0,0,84.24
Christopher & Banks Corporation,US,9,61,5,0,4,85.29
"Corium International, Inc.",US,9,60.9,5.8,0,1,85.81
Oncothyreon Inc.,US,6,63.8,6.7,0,0,88.9
PHX Energy Services Corp.,Canada,6,58.3,10,0,1,88.96
Northwest Pipe Company,US,6,63.2,6,0,1,89.32
North American Energy Partners Inc.,Canada,6,66,7.2,0,0,89.56
Petrowest Corporation,Canada,6,61.3,5.2,0,0,89.57
"Proteon Therapeutics, Inc.",US,8,53,4.6,0,0,89.63
LMS Capital plc,UK,6,63.7,7,0,0,89.78
Temple Hotels Inc.,Canada,5,64,2,0,0,90.18
"Calithera Biosciences, Inc.",US,5,57.4,2.8,0,3,90.23
C&J Energy Services Ltd.,US,6,59,4.2,0,0,90.27
Marin Software Incorporated,US,9,51.9,5.4,0,1,90.42
"ENPHASE ENERGY, INC.",US,6,56.7,5.2,0,0,90.59
"Lantheus Holdings, Inc.",US,8,56.4,3.1,0,1,90.65
KP Tissue Inc.,Canada,4,53,2.5,0,1,91.73
EVINE Live Inc.,US,8,60.5,2.3,0,0,94.37
Approach Resources Inc.,US,5,62.2,8,0,0,94.71
Cardiome Pharma Corp.,Canada,6,60.7,4.8,0,0,96.63
Stonegate Mortgage Corporation,US,7,52.9,4,0,0,97.07
Teixeira Duarte SA,Portugal,6,58,6,0,0,97.63
"GulfMark Offshore, Inc.",US,9,65.3,9,1,0,97.75
Rocket Fuel Inc.,US,8,53.9,4.9,0,1,97.8
Abeona Therapeutics Inc.,US,7,54.1,8.6,0,0,98.39
"Five Star Quality Care, Inc.",US,5,70,12.6,1,2,98.45
"Invuity, Inc.",US,6,55,3.2,0,0,100.78
Centaur Media plc,UK,6,56.7,4.8,0,2,101.24
"Gulf Island Fabrication, Inc.",US,9,66.4,9.2,1,0,101.25
"Core Molding Technologies, Inc.",US,7,62.1,10.4,0,0,101.4
TOM TAILOR HOLDING AG,Germany,6,53.7,4.3,0,1,101.5
"Assembly Biosciences, Inc.",US,7,64.1,3.3,0,0,102.66
Tembec Inc.,Canada,8,60.2,7.5,0,0,103
Timmins Gold Corp.,Canada,7,53,2.4,0,1,104.79
Torstar Corporation,Canada,12,62.9,8.8,0,5,104.97
Everi Holdings Inc.,US,6,62.5,6.7,0,1,105
"Peregrine Pharmaceuticals, Inc.",US,4,60.8,13.8,0,0,105.02
"Harte Hanks, Inc.",US,7,62.6,11.7,0,2,105.71
Affimed NV,Netherlands,6,67,3.8,0,0,106.1
Rocky Mountain Dealerships Inc.,Canada,8,59.4,4.4,0,0,106.61
Nordic American Offshore Ltd.,US,5,60.2,2,0,1,106.73
"Navidea Biopharmaceuticals, Inc.",US,7,56.4,3.3,0,0,107.39
Cherokee Inc.,US,6,58.8,12.5,0,0,107.69
Slater & Gordon Ltd.,Australia,6,58,8,0,2,107.76
"EndoChoice Holdings, Inc.",US,8,56.6,2.8,0,0,107.95
Echelon Financial Holdings Inc.,Canada,9,63.5,3.2,0,2,108.94
Savanna Energy Services Corp.,Canada,7,58,7.4,0,1,109.2
"Genocea Biosciences, Inc.",US,7,55,5.1,0,1,109.21
Pulse Seismic Inc.,Canada,5,58,8.2,0,2,110.76
Taseko Mines Limited,Canada,11,61.6,7.5,0,1,110.91
Ashford Inc.,US,7,50.7,2,0,0,111.16
Travelzoo Inc.,US,7,49.4,7.7,0,3,111.74
"Xerium Technologies, Inc.",US,6,62.7,4.7,0,1,111.96
"Twin Disc, Incorporated",US,7,61.4,10.1,0,1,112.93
Communisis plc,UK,6,54.5,4.5,0,2,112.93
"Sientra, Inc.",US,6,58.5,2.8,0,0,113.86
"Intrepid Potash, Inc.",US,6,61.2,8.2,0,0,114.1
Gastar Exploration Inc.,US,7,63,5.4,0,0,115.5
"SeaChange International, Inc.",US,7,62.7,7.7,0,1,115.66
