Company,Country,Board size,Average age,Average tenure,# Over life expectancy,# Women,Market cap ($m)
Farmer Bros. Co.,US,7,66.4,7.9,0,2,512.29
Kforce Inc.,US,9,64.7,16.8,0,1,513.3
"TETRA Technologies, Inc.",US,9,63.3,7,0,0,514.83
"Loxo Oncology, Inc.",US,8,51.9,1.5,0,1,517.26
FlexiGroup Ltd.,Australia,3,58.3,9,0,0,517.98
DHX Media Ltd.,Canada,10,60.8,3.9,1,3,518.2
Harsco Corporation,US,8,63.3,5.4,0,2,519.84
Costain Group plc,UK,7,58.4,5.3,0,2,519.88
"Clovis Oncology, Inc.",US,9,62.2,5.1,0,1,520.89
"Revance Therapeutics, Inc.",US,8,58.3,7.5,0,1,522.37
Live Oak Bancshares Inc.,US,11,62.9,5.4,0,1,523.12
Heritage Financial Corporation,US,14,61.6,6.9,0,4,523.3
SP Plus Corporation,US,9,59.6,6,0,1,524.45
Tredegar Corporation,US,8,62.4,8.5,0,0,526.11
"Insteel Industries, Inc.",US,7,69.4,22.7,0,0,526.96
Global Indemnity plc,US,9,65.6,4.4,0,1,527.61
REC Silicon ASA,Norway,5,56,2.4,0,2,527.64
CalAmp Corp.,US,7,58.1,4.4,0,2,528.11
"Oclaro, Inc.",US,7,60.9,5.7,0,2,528.21
CGG,France,11,59.7,5.9,0,5,528.92
Bristow Group Inc.,US,11,60.2,5.9,0,1,529.92
Capital Senior Living Corporation,US,9,59.2,8.3,0,2,531.06
Sanchez Energy Corporation,US,7,55.3,3.6,0,0,532.2
Haulotte Group,France,6,53.7,17.5,0,1,532.32
Sirius XM Canada Holdings Inc.,Canada,8,57.9,5.1,0,2,533.71
April,France,12,54.5,7.1,0,5,534.11
Rayonier Advanced Materials Inc.,US,9,61.7,1.9,0,1,534.52
"Strayer Education, Inc.",US,9,64.3,14.4,1,1,534.94
Novanta Inc.,US,7,61.9,5.1,0,0,535.06
Extendicare Inc.,Canada,9,60.9,2.4,0,4,536.31
ITE Group plc,UK,6,54.5,5.8,0,2,536.34
Evotec AG,Germany,6,60.2,2.2,0,2,537.83
Marie Brizard Wine & Spirits,France,6,48.5,1.2,0,3,537.99
Trilogy Energy Corp.,Canada,8,62.6,9.8,0,0,539.67
Entercom Communications Corp.,US,6,60.2,15.3,1,0,541.14
Premier Oil plc,UK,10,59.8,6.8,0,2,541.46
Oxford Instruments plc,UK,7,59.6,6.6,0,1,541.47
4imprint Group plc,UK,7,59,4,0,0,541.68
Kadant Inc.,US,5,67.6,12.4,0,0,542.17
"1-800-FLOWERS.COM, Inc.",US,9,60.4,9.9,0,1,542.43
Workiva Inc.,US,7,61.6,1,0,0,543.25
"Computer Programs and Systems, Inc.",US,7,57.1,11.7,0,0,544
Enterprise Financial Services Corp,US,11,64.5,8.2,0,2,545.39
"Vera Bradley, Inc.",US,11,63.4,12.2,0,4,546.19
"Investment Technology Group, Inc.",US,9,54.9,6.3,0,1,546.29
Erin Energy Corporation,US,7,64.3,3.3,0,1,547.69
"Aimmune Therapeutics, Inc.",US,6,52.3,1.7,0,2,550.06
"Great Southern Bancorp, Inc.",US,9,67.2,16.1,2,1,550.34
"Opower, Inc.",US,7,45,5.7,0,0,551.04
"TrueCar, Inc.",US,9,55.9,5,0,0,552.06
Applied Micro Circuits Corporation,US,7,60.6,5.7,0,0,552.31
"CEVA, Inc.",US,7,66.7,13.7,1,0,552.7
"Resources Connection, Inc.",US,9,65.2,9.9,0,3,552.88
"Winnebago Industries, Inc.",US,8,61.9,5.4,0,1,553.44
Connect Group plc,UK,7,53,4.7,0,1,553.93
"Tailored Brands, Inc.",US,8,65.6,11.3,0,1,554.08
"CBIZ, Inc.",US,10,65,10.1,0,2,554.82
"Fred's, Inc.",US,7,63.4,12.4,0,1,555.24
Canacol Energy Ltd.,Canada,8,59.9,4.9,0,0,555.67
Stallergenes Greer plc,France,10,60.5,6.8,0,2,555.97
Grammer AG,Germany,12,49.5,5.4,0,3,556.02
Century Aluminum Company,US,6,51.5,4,0,0,556.31
Chase Corporation,US,10,63.6,9.6,0,1,556.77
Tronox Limited,US,9,63.9,4,0,0,557.68
First Potomac Realty Trust,US,7,64.9,7.9,0,0,557.69
"Epiq Systems, Inc.",US,9,68.8,9.7,1,0,558.58
EMC Insurance Group Inc.,US,5,61.4,11.2,0,1,560.82
Dynavax Technologies Corporation,US,9,67.9,8.9,1,2,560.88
Global Eagle Entertainment Inc.,US,9,55.2,1.9,0,0,561.24
Chesnara plc,UK,8,58.3,7.6,0,1,562.64
"LGI Homes, Inc.",US,6,51.7,2.8,0,0,563.45
The Marcus Corporation,US,13,67.9,18.5,4,2,563.75
"Republic Bancorp, Inc.",US,7,57.7,15,0,1,564.42
Bonavista Energy Corporation,Canada,9,57.4,10.7,0,2,564.99
"Empire Resorts, Inc.",US,6,60.5,5,0,1,565.07
"InvenSense, Inc.",US,8,52.5,3.8,0,1,566.91
"Ruth's Hospitality Group, Inc.",US,7,62.7,9.9,0,2,567.61
Broadspectrum Limited,Australia,7,60.7,3.1,0,2,569.54
Hilton Food Group plc,UK,6,60.2,8.7,0,1,570.06
"General Communication, Inc.",US,10,58.7,13.5,0,1,571.12
"Atara Biotherapeutics, Inc.",US,7,54.3,1.9,0,2,571.44
"Cass Information Systems, Inc.",US,8,61.9,11.8,0,0,571.45
Canfor Pulp Products Inc.,Canada,7,70,4,2,0,571.79
Assystem,France,5,57.6,4.4,0,2,571.93
"MGP Ingredients, Inc.",US,9,65,4.2,0,2,573.86
"Xencor, Inc.",US,7,53.4,6.7,0,0,574.92
Grindrod Ltd,South Africa,15,54.3,6.2,3,2,576.02
Sai Global Ltd.,Australia,7,61.2,4.9,0,2,576.3
Headlam Group plc,UK,5,57,13.6,0,0,576.46
"HeartWare International, Inc.",US,10,62.2,7.6,0,1,577.44
GUD Holdings Ltd.,Australia,6,62,4.5,0,1,578.52
"Sierra Wireless, Inc.",Canada,7,57.1,11.4,0,1,580.05
Painted Pony Petroleum Ltd.,Canada,8,60.5,5.3,0,1,580.18
"Multi-Fineline Electronix, Inc.",US,8,59.4,5.4,0,1,580.39
"Greenhill & Co., Inc.",US,6,68.3,8.7,0,1,580.51
Sandstorm Gold Ltd.,Canada,6,54.2,6.8,0,1,580.8
"Par Pacific Holdings, Inc.",US,9,56.8,2.2,0,0,580.83
Silver Bay Realty Trust Corp.,US,7,61.1,3.9,0,1,582.28
"Connecticut Water Service, Inc.",US,8,59.1,8.9,0,5,582.69
"Gener8 Maritime, Inc.",US,7,42.9,2.9,0,0,582.89
Archrock Inc.,US,8,58.9,4.8,0,2,584.16
"Pzena Investment Management, Inc.",US,7,59.7,6.9,0,0,584.24
Quidel Corporation,US,7,65.7,9.1,0,1,585.22
CTS Corporation,US,8,62.9,11.1,0,2,585.4
Unitil Corporation,US,11,66.9,13.4,0,2,586.19
DIXY GROUP PJSC,Russia,12,47,2.9,0,0,587
Altium Ltd.,Australia,4,62,15,0,0,587.27
"MainSource Financial Group, Inc.",US,10,60,7.3,0,2,587.9
"FARO Technologies, Inc.",US,6,62.5,14.7,0,1,589.98
"Inteliquent, Inc.",US,8,59.4,6.4,0,1,590.28
"Encore Capital Group, Inc.",US,9,64.2,3.3,0,2,590.5
Koppers Holdings Inc.,US,8,63.9,6.9,0,2,590.62
Corcept Therapeutics Incorporated,US,7,60.9,10.9,0,0,590.71
"Chuy's Holdings, Inc.",US,7,59.6,5.4,0,1,591.4
Flushing Financial Corporation,US,13,69.1,16.2,2,2,591.56
Mears Group plc,UK,10,58,7.7,0,1,592.93
"Global Brass and Copper Holdings, Inc.",US,7,62.1,3.9,0,1,593.17
Jimmy Choo plc,UK,9,54.8,1.9,0,0,593.33
California Resources Corporation,US,10,61.9,1.9,0,1,594.65
"Cardiovascular Systems, Inc.",US,8,53,4.9,0,1,595.97
Gerry Weber International AG,Germany,12,,6.3,0,3,596.78
Mountview Estates plc,UK,5,56.4,10,0,2,598.05
"Hortonworks, Inc.",US,7,52.1,4.1,0,0,599.39
National Bank Holdings Corporation,US,6,64.2,6,0,1,599.46
Martinrea International Inc.,Canada,8,58.9,4.8,0,1,599.98
Ivanhoe Mines Ltd.,Canada,8,64.8,9.4,0,1,600.41
Regis Corporation,US,8,57.8,3.1,0,1,601.07
Capital & Regional plc,UK,10,57.8,6,0,1,601.71
Cherkizovo Group PJSC,Russia,12,49,5.3,0,0,601.75
Credito Valtellinese,Italy,15,59.7,6.5,0,3,602.37
Esso Societe anonyme francaise,France,6,56,3,0,2,605.8
Triple-S Management Corporation,US,9,63.4,5.6,0,1,606.12
"Rapid7, Inc.",US,8,49,6,0,0,608.5
NSI NV,Netherlands,5,51.4,1.8,0,1,609.03
TrustCo Bank Corp NY,US,7,67.7,13.7,1,0,609.26
Chorus Aviation Inc.,Canada,9,64.9,6.3,0,2,609.52
Capella Education Company,US,11,60.8,9.6,0,2,611.17
"K2M Group Holdings, Inc.",US,9,57,5.6,0,0,611.49
"Ultratech, Inc.",US,7,67.6,13.4,0,0,611.55
"Cedar Realty Trust, Inc.",US,7,64.6,7.6,0,1,611.9
"ANI Pharmaceuticals, Inc.",US,7,63.1,4.7,0,0,611.91
Devro plc,UK,6,56.7,5.3,0,1,612.56
"Xura, Inc.",US,7,59.7,2.7,0,1,612.95
"Easterly Government Properties, Inc.",US,7,56.6,2,0,1,614.13
Pharmstandard PJSC,Russia,12,47.4,4.8,1,1,614.99
National Interstate Corporation,US,11,58.5,9.4,0,0,615.11
Entravision Communications Corporation,US,6,63.3,7.5,0,2,615.15
Gateway Lifestyle Operations Limited,Australia,6,60.5,,0,1,615.59
Computer Modelling Group Ltd.,Canada,7,66.1,13.1,0,0,615.71
Omnia Holdings Ltd,South Africa,11,57,9.4,2,2,616.04
Deutz AG,Germany,12,66.5,1.8,0,1,616.4
Datatec Ltd,South Africa,8,58.4,10.8,2,1,616.71
SOCO International plc,UK,12,62,11.1,0,2,617.44
Alexander Forbes Group Holdings Ltd.,South Africa,11,55.5,3.8,0,1,617.52
Sunrun Inc.,US,7,45.9,5.6,0,2,617.9
Zumtobel Group AG,Austria,9,57.2,6.7,0,0,617.96
Cerus Corporation,US,7,59.1,8,0,1,619.42
"Keryx Biopharmaceuticals, Inc.",US,6,52.7,2.3,0,0,620.11
Ricardo plc,UK,7,58.1,4.6,0,1,620.64
Stobart Group Ltd,UK,7,53.4,4.1,0,0,621.04
"Nautilus, Inc.",US,6,65,7.7,0,1,621.27
Arrow Global Group plc,UK,7,53.7,2.9,0,2,622.89
SPX Corporation,US,7,59.4,2.6,0,2,623.68
"Virtus Investment Partners, Inc.",US,8,58.9,5.4,0,2,624.14
Seacoast Banking Corporation of Florida,US,13,66.8,11,2,3,624.2
"Community Trust Bancorp, Inc.",US,7,64.6,16.1,0,1,626.71
"NeoGenomics, Inc.",US,9,61.3,4.9,1,2,626.97
DIC Asset AG,Germany,6,54,4,0,0,627.35
Sienna Senior Living Inc.,Canada,6,64.7,4.8,0,3,627.71
Sun International Ltd,South Africa,12,58.4,7.8,4,4,627.93
Village Roadshow Ltd.,Australia,7,68,14.9,0,0,628.48
"National Presto Industries, Inc.",US,5,68.4,16,1,1,629.58
Piper Jaffray Companies,US,9,59,5.8,0,2,629.77
"Stock Yards Bancorp, Inc.",US,11,58,13.7,0,1,629.85
"Argan, Inc.",US,9,62,7.1,0,1,630
"Retrophin, Inc.",US,6,60.2,2.2,0,0,630.47
"Photronics, Inc.",US,7,64.1,19.1,1,0,631.66
Middlesex Water Company,US,8,59.8,10.8,0,2,631.96
"PC Connection, Inc.",US,7,72,17.6,1,2,632.31
Eastman Kodak Company,US,9,57.1,3.6,0,0,632.46
Penn West Petroleum Ltd.,Canada,8,59.9,2.5,0,1,632.73
e Plus inc.,US,8,64,13.6,0,0,633.89
Labrador Iron Ore Royalty Corporation,Canada,7,63,7.9,0,2,634.24
PSG Konsult Ltd,South Africa,8,56.4,7,3,0,635.03
Killam Apartment Real Estate Investment Trust,Canada,9,59.9,13.4,0,1,635.54
Sandfire Resources NL,Australia,5,61.7,5.6,0,0,637.2
"Kronos Worldwide, Inc.",US,8,68.9,7.8,1,1,637.34
Veritiv Corporation,US,7,60.4,2,0,2,637.63
Cegid Group,France,13,55.3,12.2,0,4,638.64
e2v technologies plc,UK,6,56.3,3.3,0,1,638.68
ORBCOMM Inc.,US,7,62.6,9.7,0,0,639.22
"Rent-A-Center, Inc.",US,8,57.6,10.4,0,0,639.23
"Saia, Inc.",US,10,62.4,9.1,0,1,640.24
Insmed Incorporated,US,8,59.3,6.6,0,1,640.44
"Foundation Medicine, Inc.",US,8,51.9,2.6,0,1,641.19
"Marten Transport, Ltd.",US,7,68.4,17.3,0,0,641.98
Crew Energy Inc.,Canada,5,60.2,10.8,0,0,642.21
SThree plc,UK,9,52.8,5.7,0,2,643.7
TriCo Bancshares,US,11,60.1,12.2,0,1,644.14
Viad Corp,US,8,57.8,5.8,0,2,645.21
"FIESTA RESTAURANT GROUP, INC.",US,7,62.1,4.4,1,1,645.8
"Silver Spring Networks, Inc.",US,9,57.9,7.3,0,1,646.4
Exova Group plc,UK,9,56.9,5.2,0,1,647.69
MGI Coutier,France,6,65.3,,0,1,649.63
Helical Bar plc,UK,10,56.8,11.6,0,0,649.78
Morneau Shepell Inc.,Canada,9,63.3,5.9,0,3,650.37
"Lydall, Inc.",US,8,63.4,13.3,0,2,651.33
"Five9, Inc.",US,9,54.8,4.9,0,1,652
Ab Science,France,5,,11.6,0,1,652.34
Fincantieri SpA,Italy,7,58,3.9,0,1,652.44
"Universal Insurance Holdings, Inc.",US,9,57.1,5.4,1,0,652.92
Enerflex Ltd.,Canada,8,61,4.8,0,1,653.87
"Thermon Group Holdings, Inc.",US,8,64.6,4.4,0,0,654
RPS Group plc,UK,6,61,16.2,0,1,654.78
Investec Property Fund Ltd,South Africa,10,57,7.1,4,1,654.84
"GTT Communications, Inc.",US,8,60.6,7.4,0,1,655.08
"Diamond Hill Investment Group, Inc.",US,6,57,5.7,0,1,655.24
Outerwall Inc.,US,6,58,8.2,0,1,656.47
Ophir Energy plc,UK,8,58.5,2.8,0,2,656.67
Badger Daylighting Ltd.,Canada,7,59.7,8.9,0,1,656.68
Akka Technologies,France,7,48.6,8.7,0,2,656.69
Fox Factory Holding Corp.,US,7,61.6,4.6,0,0,657.97
"Epizyme, Inc.",US,7,54.4,5,0,1,658.06
ArcelorMittal South Africa Ltd,South Africa,11,52.6,3.5,1,2,658.09
Biotest AG,Germany,6,70,6.7,0,2,659.43
Southern Cross Media Group,Australia,9,57.8,3,0,2,661.1
ASCOPIAVE S.P.A.,Italy,5,48.8,3.6,0,1,661.28
Premier Farnell plc,UK,7,56.4,5.9,0,1,661.64
AGT Food and Ingredients Inc.,Canada,5,60,6.6,0,0,663.77
"Washington Trust Bancorp, Inc.",US,12,63.9,14.2,0,2,664.36
Interfor Corporation,Canada,9,65.4,10.2,0,1,664.6
"United Financial Bancorp, Inc.",US,9,58.9,5.2,0,3,664.7
"Varonis Systems, Inc.",US,8,53.6,6.6,0,1,664.75
"Heron Therapeutics, Inc.",US,6,54.7,2.5,0,1,664.98
IGD -Immobiliare Grande Distribuzione,Italy,13,57.8,6.2,0,4,665.13
Alacer Gold Corp.,Canada,6,58.2,4.2,0,1,665.62
"Dime Community Bancshares, Inc.",US,11,68.5,21.9,0,1,665.82
"Isle of Capri Casinos, Inc.",US,8,59.8,10,0,2,666.15
Altus Group Limited,Canada,8,62,4.9,0,2,666.2
Aceto Corporation,US,7,62.6,6.9,0,1,666.55
Etablissements Maurel Et Prom,France,8,62.4,7.5,0,2,667.5
"Forrester Research, Inc.",US,6,62,20.3,0,1,667.8
General Cable Corporation,US,7,60.9,8.7,0,1,668.73
Interserve plc,UK,10,56.3,5.3,0,1,668.83
Veeco Instruments Inc.,US,6,62.8,9.5,0,0,668.98
Tyman plc,UK,7,54.7,4.6,0,2,669.5
"The Rubicon Project, Inc.",US,7,57.4,4,0,1,671.22
Lattice Semiconductor Corporation,US,7,59,3.6,0,1,672.21
Aegion Corporation,US,9,64.1,9.7,0,2,673.01
Petroleum Geo-Services Asa,Norway,9,53.5,4,0,5,673.22
"H&E Equipment Services, Inc.",US,8,68,9.4,0,0,673.81
Consort Medical plc,UK,8,55.3,4.4,0,1,674.57
"Pacific Premier Bancorp, Inc.",US,10,61.4,8.5,0,1,674.93
Quanex Building Products Corporation,US,6,65.2,7,0,1,675.81
Innate Pharma,France,7,56.9,6.1,0,2,676.78
Exchange Income Corporation,Canada,10,61.1,5.9,0,1,676.95
Nevsun Resources Ltd.,Canada,6,70,14.5,0,0,677.46
SkyePharma plc,UK,5,59.4,6.4,0,0,677.84
Zeder Investments Ltd,South Africa,8,54.5,5.9,3,0,677.97
Retail Food Group Ltd,Australia,5,,5.2,0,2,678.38
Valener Inc.,Canada,4,62,5,0,2,678.98
Piaggio & C. S.p.A.,Italy,9,53.9,5.6,0,2,679.07
"Flotek Industries, Inc.",US,7,64.3,7,0,1,679.32
Synergy Pharmaceuticals Inc.,US,7,62,5.9,0,0,679.55
Myer Holdings Ltd.,Australia,6,59.8,2.7,0,2,679.98
Foxtons Group plc,UK,7,56.3,4.4,0,1,681.41
Textura Corporation,US,7,59.1,3.7,0,1,682.34
"Pinnacle Entertainment, Inc.",US,7,63.1,6.9,0,2,682.59
"Echo Global Logistics, Inc.",US,7,54.9,6.1,0,1,682.91
"VASCO Data Security International, Inc.",US,5,61.8,11.4,0,1,684.24
Estia Health Ltd,Australia,6,,1.5,0,1,684.77
"Sandy Spring Bancorp, Inc.",US,12,61,9.3,0,3,685.86
"New York Mortgage Trust, Inc.",US,5,62,8.2,0,0,686
Vittoria Assicurazioni SPA,Italy,16,65.3,16.3,0,4,686.15
Clearwater Seafoods Incorporated,Canada,9,61.7,3.4,0,1,686.33
"Customers Bancorp, Inc.",US,6,61.3,5.8,0,0,687.48
Srp Groupe,France,10,41.5,2.5,0,2,687.69
"Vascular Solutions, Inc.",US,7,61,11.7,0,0,688.42
Exact Sciences Corporation,US,9,61.1,3.4,0,1,688.45
B2W Companhia Digital,Brazil,7,55.1,,0,0,689.39
Ardent Leisure Group,Australia,7,60.7,4.6,0,2,690.76
"Superior Industries International, Inc.",US,11,55.2,3,0,1,692.6
EarthLink Holdings Corp.,US,7,62.3,3.6,0,3,692.62
Bonterra Energy Corp.,Canada,5,73.3,12,0,0,693.58
Athens Water Supply & Sewage (EYDAP),Greece,12,45,,0,0,695.31
MTS Systems Corporation,US,8,60.5,5.4,0,2,696.87
Poundland Group plc,UK,8,51.6,2.9,0,2,698.62
"Raven Industries, Inc.",US,7,57,10.6,0,1,698.95
Universal American Corp.,US,8,56.4,11.8,0,1,699.99
"Mistras Group, Inc.",US,7,67.9,11.3,0,0,700.26
Western Forest Products Inc.,Canada,7,60.1,4.7,0,1,700.49
AECI Ltd,South Africa,12,57.9,5.9,3,2,701.13
Green Plains Inc.,US,9,55.9,7.1,0,0,701.59
"Valhi, Inc.",US,7,64.1,7.6,0,3,702.03
Spirent Communications plc,UK,6,63.3,6.8,0,1,703.5
Enterprise Inns plc,UK,7,59.1,5.6,0,1,703.7
"Coherus BioSciences, Inc.",US,8,55.4,3.5,0,1,703.97
Xchanging plc,UK,8,60,3.9,0,0,704.95
"Eldorado Resorts, Inc.",US,7,61.9,1,0,0,705.19
"Anika Therapeutics, Inc.",US,6,66.2,12.7,0,0,706.35
Alamo Group Inc.,US,7,61.9,6.9,0,1,706.6
TMK PAO,Russia,12,52.3,7.1,0,0,706.74
"Nimble Storage, Inc.",US,8,53.5,4.1,0,0,708.12
The Intertain Group Limited,Canada,8,55.8,1.9,0,0,708.55
"A. Schulman, Inc.",US,10,68.1,7.9,0,0,709.84
Kelt Exploration Ltd.,Canada,5,62,4,0,0,710.06
InnVest Real Estate Investment Trust,Canada,10,53.4,3,0,1,710.71
"ARMOUR Residential REIT, Inc.",US,9,61.6,6.6,0,1,711.84
"Accelerate Diagnostics, Inc.",US,6,58.8,3.7,0,0,711.93
Morguard Real Estate Investment Trust,Canada,8,72.7,11.6,0,0,713.49
China Gold International Resources Corp. Ltd.,Canada,9,54.6,6,0,0,713.54
"Amphastar Pharmaceuticals, Inc.",US,9,64.3,11.3,1,1,714.84
APN News & Media Ltd,Australia,6,65.3,4.2,0,2,716.39
"SciClone Pharmaceuticals, Inc.",US,6,66,7.5,0,1,716.69
Imagination Technologies Group plc,UK,8,56.1,6.6,0,1,716.71
Cardinal Financial Corporation,US,11,67.4,11.4,1,2,717.03
The Gorman-Rupp Company,US,8,65.6,21.9,1,1,717.3
Getty Realty Corp.,US,6,70.8,22.3,3,0,717.37
"Zoe's Kitchen, Inc.",US,7,55.3,3.9,0,2,717.65
Nine Entertainment Co. Holdings Ltd,Australia,7,44,2.1,0,1,718.2
The Providence Service Corporation,US,4,50.8,5,0,1,718.21
Liberty Media Corporation,US,9,61.1,4.1,0,1,718.54
Illovo Sugar Ltd,South Africa,14,55.1,5.6,3,1,718.74
Paramount Resources Ltd.,Canada,9,62.9,18.2,0,1,719.22
Australian Agricultural Company Ltd.,Australia,7,62.5,3.1,0,0,719.46
"Speedway Motorsports, Inc.",US,7,64.7,15,1,0,720.27
"Ambac Financial Group, Inc.",US,7,55.4,1,0,0,720.3
Altra Industrial Motion Corp.,US,7,63.7,8.3,0,0,720.4
McGrath RentCorp,US,7,65.9,13.9,0,1,721.97
"Northfield Bancorp, Inc.",US,11,61.5,8.5,0,3,722.05
"Bankrate, Inc.",US,9,51.8,5.4,0,1,722.94
American Capital Mortgage Investment Corp.,US,9,58.4,4,0,1,723
City Holding Company,US,13,65.5,13.8,0,1,723.23
Cogeco Inc.,Canada,9,64.3,11.1,0,2,724.11
"The Finish Line, Inc.",US,9,61.6,7.4,0,2,724.69
Novae Group plc,UK,7,57.3,5.6,0,1,725.09
"RE/MAX Holdings, Inc.",US,10,66.8,2.2,1,4,725.41
Sanne Group plc,UK,6,47,1.8,0,1,725.79
STRATEC Biomedical Systems AG,Germany,3,56,8.3,0,1,727.72
"Kelly Services, Inc.",US,11,62.3,12.8,1,3,727.87
"Carmike Cinemas, Inc.",US,7,61.7,8.9,0,1,728.59
PHH Corporation,US,9,62.6,4.6,0,2,729.46
"AeroVironment, Inc.",US,7,67.7,8.7,0,1,729.91
"Red Robin Gourmet Burgers, Inc.",US,8,60.6,6.5,0,2,730.39
"FTD Companies, Inc.",US,11,57.1,1.5,0,4,731.1
"Nutrisystem, Inc.",US,8,56.3,5.4,0,2,731.56
"Vitamin Shoppe, Inc.",US,10,60.3,5,0,3,732.44
Aixtron SE,Germany,6,60.5,9.5,0,1,732.68
Whistler Blackcomb Holdings Inc.,Canada,8,51.9,4.6,0,1,732.73
iSTAR INC.,US,7,63.6,12.3,0,2,732.98
"Greenlight Capital Re, Ltd.",US,8,58,10,0,0,733.11
Oritani Financial Corp.,US,7,65.7,16.9,0,0,733.62
"U.S. Physical Therapy, Inc.",US,10,66.9,11.8,1,0,734.29
Central Pacific Financial Corp.,US,11,58,6.7,0,4,735.7
Costa Group Holdings Limited,Australia,6,53.7,2.5,0,1,735.83
De La Rue plc,UK,7,54.3,1.6,0,2,737.08
Birchcliff Energy Ltd.,Canada,4,64.5,7,0,0,737.17
Heidelberger Druckmaschinen AG,Germany,11,54,5.8,0,2,740.13
"Atwood Oceanics, Inc.",US,8,63.3,12.4,0,1,741.28
ATS Automation Tooling Systems Inc.,Canada,7,58.7,6.1,0,0,742.97
Nostrum Oil & Gas plc,UK,9,53.8,5.6,0,0,744.02
"Amicus Therapeutics, Inc.",US,8,57.8,6.9,0,1,744.51
Pure Industrial Real Estate Trust,Canada,6,55.5,7.7,0,0,745.45
"Inovio Pharmaceuticals, Inc.",US,8,61.6,6.4,1,1,745.59
"InfraREIT, Inc.",US,9,58.2,1.9,0,3,746.02
"CenterState Banks, Inc.",US,13,60.8,7.8,0,0,746.71
Cascades Inc.,Canada,10,61.7,17,0,3,747.14
Calgon Carbon Corporation,US,9,61.4,7.9,0,1,747.69
"Quality Systems, Inc.",US,9,56.8,7.9,0,0,748.22
ID Logistics Group,France,7,54.7,2.7,0,3,750.39
"Independent Bank Group, Inc.",US,12,52.5,7,0,0,750.44
"Surgery Partners, Inc.",US,5,43.8,1,0,0,750.74
"National Western Life Group, Inc.",US,10,64.6,28.7,0,2,750.9
"Hibbett Sports, Inc.",US,8,66,9.4,0,1,751.92
Universal Health Realty Income Trust,US,6,66.2,14.8,1,0,751.97
"Walker & Dunlop, Inc.",US,7,55,5.7,0,1,751.97
Via Varejo SA,Brazil,9,49.2,1.4,0,0,753.5
"AMAG Pharmaceuticals, Inc.",US,8,60.4,4.9,0,2,753.65
SA Corporate Real Estate Ltd,South Africa,9,53.3,7.4,2,3,754.47
Hanmi Financial Corporation,US,9,60.6,8.2,0,1,756.29
Northview Apartment Real Estate Investment Trust,Canada,9,56.9,4.1,0,1,756.31
Repligen Corporation,US,7,59,5.4,0,1,756.87
Gogo Inc.,US,9,61.4,5.2,1,0,757.27
Naturex SA,France,8,55.1,1.6,0,4,758.79
"Perficient, Inc.",US,5,57,10,0,0,758.91
"LHC Group, Inc.",US,11,61.2,10.6,0,1,759.32
"Ingles Markets, Incorporated",US,8,59.5,10.1,0,2,759.74
TriMas Corporation,US,8,64.8,7.9,0,1,760.16
"Meritor, Inc.",US,9,66.1,8.9,0,2,761.06
Bellamy's Australia Limited,Australia,5,62.5,3.6,0,2,761.34
Mitel Networks Corporation,Canada,8,55.4,6.5,0,0,762.7
Griffon Corporation,US,12,68.3,14.9,2,0,762.76
Reunert Ltd,South Africa,13,54.7,5.2,5,5,762.9
State Bank Financial Corporation,US,10,63.4,4.8,0,2,763.08
Whitehaven Coal Ltd.,Australia,7,56,3.9,0,2,764.4
Phibro Animal Health Corporation,US,8,61.9,9.3,0,2,764.51
"Sonic Automotive, Inc.",US,9,62.9,12.6,1,0,766.54
"The Manitowoc Company, Inc.",US,9,56.7,2.3,0,1,767.29
Atrion Corporation,US,5,71.6,24.4,1,0,768.21
Vukile Property Fund Limited,South Africa,12,53.7,5.6,1,3,769.3
"Navigant Consulting, Inc.",US,8,66.1,8,0,2,769.34
Lindsay Corporation,US,8,64.1,10.1,0,0,769.73
Northgate plc,UK,5,51.8,4.6,0,1,770.5
"Crocs, Inc.",US,7,53.4,4.6,0,1,770.89
Wingstop Inc.,US,6,53.7,4.7,0,0,772
SJW Corp.,US,9,67.3,7.8,1,2,772.3
Investors Real Estate Trust,US,9,60,9.2,0,2,772.33
"American Railcar Industries, Inc.",US,6,55.8,5.8,0,0,772.86
Guerbet,France,8,54,2.9,0,4,774.04
Gameloft,France,7,53,11.9,0,2,776.48
"Civitas Solutions, Inc.",US,9,59.6,5,0,2,777.38
Lonmin plc,UK,8,56.6,4.5,0,1,777.4
"TTM Technologies, Inc.",US,9,63.4,10.8,0,0,779.29
Fiera Capital Corporation,Canada,12,65,6.1,0,1,779.98
Empiric Student Property plc,UK,7,58,1,0,2,781.09
"ICF International, Inc.",US,8,59.8,9,0,3,782.77
Pacific Brands Ltd,Australia,7,54.6,2.7,0,3,783.36
New Media Investment Group Inc.,US,5,57.4,2.6,0,0,783.55
Aecon Group Inc.,Canada,9,65.1,12,0,2,784.16
"Brookline Bancorp, Inc.",US,14,70.2,15.9,1,3,784.24
Nampak Ltd,South Africa,13,54.8,5.7,3,4,785.07
Iridium Communications Inc.,US,12,62.7,5,0,1,785.16
"Southside Bancshares, Inc.",US,14,69.6,12.9,3,2,785.76
"Delek US Holdings, Inc.",US,6,63.3,7.3,0,0,786.14
Deltic Timber Corporation,US,11,64.6,12.3,0,1,788.1
"Patrick Industries, Inc.",US,8,58.1,7.6,0,0,788.36
"Brooks Automation, Inc.",US,10,65.2,9.6,0,2,789.09
