name,country,avgTenure,avgAge,percentWomen,cap,industry,industryTenure,industryAge,industryWomen,globalTenure,globalAge,globalWomen,countryTenure,countryAge,countryWomen
"Abaxis, Inc.",US,14,71,0,1.2119,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Diodes Incorporated,US,15.9,70.9,0,0.9095,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Fresh Del Monte Produce Inc.,US,14.1,70.9,11.1,2.8294,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
Shinsei Bank Ltd.,Japan,11.4,70.9,0,4.1041,Financials,7.92,60.71,18,7.4,60,17,11.00662252,67.57615894,5
"MarineMax, Inc.",US,9.8,70.9,12.5,0.4866,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Getty Realty Corp.,US,22.3,70.8,0,0.7497,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Brandywine Realty Trust,US,14,70.8,12.5,2.8877,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Canfor Corporation,Canada,12.4,70.7,0,1.5095,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
"New York Community Bancorp, Inc.",US,10.5,70.7,16.7,7.3101,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
MERCURY GENERAL CORPORATION,US,15.3,70.6,11.1,3.0611,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Kimco Realty Corporation,US,15,70.6,12.5,13.1308,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Mueller Water Products, Inc.",US,8.9,70.6,22.2,1.8853,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Prosperity Bancshares, Inc.",US,14.8,70.5,9.1,3.7317,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
DURECT Corporation,US,12.8,70.5,0,0.1978,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Kopin Corporation,US,24.3,70.4,0,0.1613,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
"Citizens, Inc.",US,17.3,70.4,11.1,0.4137,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
American Equity Investment Life Holding Company,US,12.1,70.4,16.7,1.305,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Asian Paints Ltd.,India,14.4,70.3,14.3,14.6435,Materials,6.88,60.08,16,7.4,60,17,8.233502538,61.66497462,12
"O'Reilly Automotive, Inc.",US,27,70.2,11.1,26.3933,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"Brookline Bancorp, Inc.",US,15.9,70.2,21.4,0.8244,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Mack-Cali Realty Corporation,US,14.8,70.2,0,2.4641,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"FCB Financial Holdings, Inc.",US,6,70.2,0,1.483,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
