cat,value,group,
Energy, 60.90 ,normal,
Financials, 60.69 ,normal,
Health, 60.27 ,normal,
Industrials, 60.19 ,normal,
Materials, 60.06 ,normal,
Utilities, 59.97 ,normal,
IT, 59.24 ,normal,
Consumer discretionary, 59.12 ,normal,
Consumer staples, 59.08 ,normal,
Telecomm, 57.92 ,normal,
