name,x,y,size,cat,label
US, 61.44 ,8.247383991,1,that,yes
Canada, 60.98 ,7.662935609,1,this,yes
Spain, 60.58 ,7.459459664,1,this,yes
Netherlands, 59.23 ,4.58852731,1,this,yes
Switzerland, 58.88 ,6.63968996,1,this,yes
Brazil, 58.40 ,4.684451554,1,this,yes
Italy, 57.99 ,6.869741589,1,this,yes
Ireland, 57.53 ,6.943525746,1,this,yes
Finland, 57.47 ,4.538591058,1,this,yes
Germany, 57.39 ,6.03268766,1,this,yes
UK, 57.01 ,5.650414614,1,this,yes
France, 56.83 ,6.58456573,1,this,yes
South Africa, 56.07 ,7.472137242,1,this,yes
Sweden, 55.85 ,5.673160546,1,this,yes
Denmark, 54.96 ,5.618941401,1,this,yes
Norway, 53.99 ,4.604156366,1,this,yes
Russia, 51.47 ,4.134038807,1,this,yes
