cat,value,group
Norway, 42.3 ,normal
France, 37.5 ,normal
Sweden, 35.3 ,normal
Finland, 30.8 ,normal
Denmark, 26.7 ,normal
Netherlands, 25.1 ,normal
Germany, 24.4 ,normal
UK, 20.0 ,normal
Switzerland, 18.5 ,normal
Spain, 18.4 ,normal
Ireland, 16.0 ,normal
US, 15.1 ,normal
